match_no,ball_no,inning,over,batter,bowler,score,match_type,venue,location,team1,team2,toss_won,toss_decision,winner,winner_runs,winner_wickets,mom,day,month
1,1,1,0.1,Devon Conway,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,2,1,0.2,Devon Conway,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,3,1,0.3,Ruturaj Gaikwad,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,4,1,0.4,Ruturaj Gaikwad,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,5,1,0.5,Devon Conway,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,6,1,0.6,Devon Conway,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,7,1,1.1,Ruturaj Gaikwad,Hardik Pandya,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,8,1,1.2,Ruturaj Gaikwad,Hardik Pandya,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,9,1,1.3,Ruturaj Gaikwad,Hardik Pandya,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,10,1,1.4,Ruturaj Gaikwad,Hardik Pandya,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,11,1,1.5,Devon Conway,Hardik Pandya,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,12,1,1.6,Ruturaj Gaikwad,Hardik Pandya,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,13,1,2.1,Ruturaj Gaikwad,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,14,1,2.2,Devon Conway,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,15,1,2.3,Moeen Ali,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,16,1,2.4,Moeen Ali,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,17,1,2.5,Moeen Ali,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,18,1,2.6,Moeen Ali,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,19,1,3.1,Ruturaj Gaikwad,Josh Little,6,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,20,1,3.2,Ruturaj Gaikwad,Josh Little,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,21,1,3.3,Ruturaj Gaikwad,Josh Little,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,22,1,3.4,Moeen Ali,Josh Little,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,23,1,3.5,Moeen Ali,Josh Little,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,24,1,3.6,Moeen Ali,Josh Little,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,25,1,4.1,Ruturaj Gaikwad,Mohammed Shami,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,26,1,4.2,Ruturaj Gaikwad,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,27,1,4.3,Moeen Ali,Mohammed Shami,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,28,1,4.4,Moeen Ali,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,29,1,4.4,Moeen Ali,Mohammed Shami,6,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,30,1,4.5,Moeen Ali,Mohammed Shami,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,31,1,4.6,Moeen Ali,Mohammed Shami,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,32,1,5.1,Moeen Ali,Rashid Khan,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,33,1,5.2,Moeen Ali,Rashid Khan,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,34,1,5.3,Moeen Ali,Rashid Khan,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,35,1,5.4,Moeen Ali,Rashid Khan,4,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,36,1,5.5,Moeen Ali,Rashid Khan,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,37,1,5.6,Ben S,Rashid Khan,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,38,1,6.1,Ben S,Hardik Pandya,0,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,39,1,6.2,Ben S,Hardik Pandya,1,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
1,40,1,6.3,Ruturaj Gaikwad,Hardik Pandya,6,Group,Narendra Modi Stadium,Ahmedabad,CSK,GT,GT,field,GT,0,5,Rashid Khan,31,3
